omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11
55.0,3.0,550.0,50.0,165.0,10.0,174.60556765810645,1.330804536270488,369.2111353162129,160.70608663330628,53.56869554443543,0.9932021172654355,0.9957533075584334,0.9951499378892521,0.9951499378892521,0.9867552857248043
55.0,3.0,550.0,60.0,165.0,8.333333333333334,174.60556765810645,1.330804536270488,365.87780198287953,160.70608663330628,53.56869554443543,0.9937468721390224,0.9957436384626309,0.9951618443849433,0.9951618443849433,0.9889201613235723
55.0,3.0,550.0,70.0,165.0,7.142857142857143,174.60556765810645,1.330804536270488,363.4968496019272,160.70608663330628,53.56869554443543,0.9940764350012787,0.9957410729171193,0.9951682842695317,0.9951682842695317,0.990228098548932
55.0,3.0,600.0,50.0,165.0,10.0,190.47880108157065,1.7277462349176578,400.9576021631413,175.31573087269777,58.43857695756592,0.992991590546658,0.9950186061254234,0.9951858977430925,0.9951858977430925,0.9865759605750235
55.0,3.0,600.0,60.0,165.0,8.333333333333334,190.47880108157065,1.7277462349176578,397.62426882980793,175.31573087269777,58.43857695756592,0.993520578133382,0.995017329014386,0.9951953185220922,0.9951953185220922,0.9886743464749578
55.0,3.0,600.0,70.0,165.0,7.142857142857143,190.47880108157065,1.7277462349176578,395.2433164488556,175.31573087269777,58.43857695756592,0.9938421221202349,0.9950173302406908,0.9952027836267663,0.9952027836267663,0.9899455909867165
55.0,3.2,400.0,50.0,176.0,10.0,126.98586738771378,0.5119248103459729,273.9717347754276,116.87715391513184,36.52411059847871,0.990138610008615,0.9817748539365455,0.9936866454734945,0.9936866454734945,0.9914062951509255
55.0,3.2,400.0,60.0,176.0,8.333333333333334,126.98586738771378,0.5119248103459729,270.6384014420942,116.87715391513184,36.52411059847871,0.9903967318745236,0.9817724611586627,0.9936970748997044,0.9936970748997044,0.9924203165400232
55.0,3.2,400.0,70.0,176.0,7.142857142857143,126.98586738771378,0.5119248103459729,268.25744906114187,116.87715391513184,36.52411059847871,0.9905511809868296,0.9817709297394566,0.9937045495041101,0.9937045495355985,0.9930246951681532
55.0,3.2,450.0,50.0,176.0,10.0,142.859100811178,0.7288929428558871,305.71820162235605,131.48679815452334,41.08962442328854,0.9896261569732347,0.9807899101041815,0.9941376755467088,0.9941376755515476,0.9894393666905009
55.0,3.2,450.0,60.0,176.0,8.333333333333334,142.859100811178,0.7288929428558871,302.3848682890227,131.48679815452334,41.08962442328854,0.9900119270372976,0.9807872422288091,0.9941488006264088,0.9941488006273405,0.990962864666632
55.0,3.2,450.0,70.0,176.0,7.142857142857143,142.859100811178,0.7288929428558871,300.00391590807027,131.48679815452334,41.08962442328854,0.990242823840942,0.9807847993724033,0.9941557079256298,0.9941557079262344,0.9918750801395007
55.0,3.2,500.0,50.0,176.0,10.0,158.7323342346422,0.999853145206978,337.4646684692844,146.09644239391483,45.65513824809838,0.9892396833749277,0.9803632669177662,0.994442664894352,0.994442664894352,0.9877101367932409
55.0,3.2,500.0,60.0,176.0,8.333333333333334,158.7323342346422,0.999853145206978,334.1313351359511,146.09644239391483,45.65513824809838,0.9897311603468003,0.9803608165578852,0.9944508066387614,0.9944508066840532,0.9896622115065015
55.0,3.2,500.0,70.0,176.0,7.142857142857143,158.7323342346422,0.999853145206978,331.75038275499867,146.09644239391483,45.65513824809838,0.9900271541047793,0.9803588587123524,0.9944572388007982,0.9944572388007982,0.9908352801051684
55.0,3.2,550.0,50.0,176.0,10.0,174.60556765810645,1.330804536270488,369.2111353162129,160.70608663330628,50.220652072908216,0.9890354456814663,0.9802272429554579,0.9946344699970422,0.9946344699970422,0.9866455997763228
55.0,3.2,550.0,60.0,176.0,8.333333333333334,174.60556765810645,1.330804536270488,365.87780198287953,160.70608663330628,50.220652072908216,0.9895819470562978,0.9802258885272597,0.9946448910656698,0.9946448910656698,0.9888121175665918
