omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
50.0,3.0,600.0,60.0,150.0,8.333333333333334,230.47934930870048,3.0608078476769607,477.62536528406764,212.1320343559643,70.71067811865477,0.9935732884986164,0.9942457068094162,0.9950156057677046,0.9950156057688315,0.9900162356485129,6,4,0.6666666666666666,1
70.0,3.0,400.0,60.0,210.0,8.333333333333334,78.39433649955801,0.12044646960202095,173.4553396657827,72.15375318230079,24.05125106076693,0.9934481649451306,0.9960012757845891,0.9914741967794534,0.9914741967858711,0.9948429904306086,6,4,0.6666666666666666,1
60.0,3.0,600.0,50.0,180.0,10.0,160.05510368659765,1.025058355194457,340.1102073731953,147.31391274719743,49.10463758239914,0.9934462499190538,0.9957659994728527,0.9951031311219676,0.9951031311219676,0.9878127379594275,6,4,0.6666666666666666,1
50.0,3.0,450.0,50.0,150.0,10.0,172.85951198152537,1.291278310738718,365.7190239630508,159.09902576697323,53.03300858899107,0.9933706883038579,0.9966256285760826,0.9950789193081473,0.9950789193093914,0.9866992860218102,6,4,0.6666666666666666,1
50.0,3.0,550.0,50.0,150.0,10.0,211.2727368663088,2.3576014150798823,442.5454737326176,194.4543648263006,64.81812160876687,0.993136801740939,0.9949341202643778,0.9950803247593044,0.9950803247609709,0.9874524371791026,6,4,0.6666666666666666,1
50.0,3.0,500.0,50.0,150.0,10.0,192.06612442391705,1.7713008377760187,404.1322488478341,176.77669529663692,58.92556509887898,0.9931096791498522,0.9957380483660525,0.9951092351359916,0.9951092351371246,0.9864821979602398,6,4,0.6666666666666666,1
55.0,3.0,600.0,50.0,165.0,10.0,190.47880108157065,1.7277462349176578,400.9576021631413,175.31573087269777,58.43857695756592,0.992991590546658,0.9950186061254234,0.9951858977430925,0.9951858977430925,0.9865759605750235,6,4,0.6666666666666666,1
60.0,3.2,550.0,70.0,192.0,7.142857142857143,146.71717837938118,0.7895559437290638,307.72007104447664,135.03775335159764,42.199297922374264,0.990121521067293,0.9803264593912955,0.9942312064852398,0.9942312064892285,0.9916972119034083,6,4,0.6666666666666666,1
65.0,3.2,450.0,50.0,208.0,10.0,102.28373490031089,0.2675221478079449,224.56746980062178,94.14143536507291,29.419198551585286,0.9901105268466424,0.9823856507665639,0.9920986950842162,0.9920986950852972,0.993859066450492,6,4,0.6666666666666666,1
60.0,3.2,450.0,50.0,192.0,10.0,120.04132776494822,0.43244649359766146,260.08265552989644,110.48543456039808,34.526698300124394,0.9900925145227537,0.9814312188827267,0.9933223018876467,0.9933223018907205,0.9922942354299211,6,4,0.6666666666666666,1
70.0,3.0,600.0,50.0,210.0,10.0,117.591504749337,0.4065068349068206,255.183009498674,108.23062977345118,36.076876591150395,0.9945813391237784,0.997055861676847,0.99419406769586,0.99419406769586,0.9928813594265468,5,3,0.6,1
50.0,3.0,400.0,50.0,150.0,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,47.14045207910318,0.9939026733865135,0.9974758366213992,0.9949692583898819,0.994969258395162,0.9881963401396109,5,3,0.6,1
70.0,3.0,400.0,70.0,210.0,7.142857142857143,78.39433649955801,0.12044646960202095,171.07438728483032,72.15375318230079,24.05125106076693,0.9935115038592781,0.9960012739053328,0.9914836803684794,0.9914836803684794,0.9950773807948208,5,3,0.6,1
70.0,3.0,400.0,50.0,210.0,10.0,78.39433649955801,0.12044646960202095,176.78867299911602,72.15375318230079,24.05125106076693,0.993347700198931,0.9960022373019491,0.9914637182175643,0.9914637182175643,0.9944611270586461,5,3,0.6,1
50.0,3.0,600.0,50.0,150.0,10.0,230.47934930870048,3.0608078476769607,480.95869861740096,212.1320343559643,70.71067811865477,0.9933134099067764,0.9942474587749311,0.9950049199677746,0.9950049199677746,0.9889963409166255,5,3,0.6,1
55.0,3.2,400.0,50.0,176.0,10.0,126.98586738771378,0.5119248103459729,273.9717347754276,116.87715391513184,36.52411059847871,0.990138610008615,0.9817748539365455,0.9936866454734945,0.9936866454734945,0.9914062951509255,5,3,0.6,1
70.0,3.2,550.0,70.0,224.0,7.142857142857143,107.79221268689227,0.31311377156306613,229.87013965949882,99.21141062566359,31.00356582051987,0.9900182132791139,0.9810014084556247,0.9923781719864182,0.9923781719864182,0.9943151006879943,5,3,0.6,1
60.0,3.2,600.0,70.0,192.0,7.142857142857143,160.05510368659765,1.025058355194457,334.3959216589096,147.31391274719743,46.0355977334992,0.9900127094065774,0.9802123080622323,0.9944923195845935,0.9944923195845935,0.9908538903948905,5,3,0.6,1
60.0,3.2,500.0,60.0,192.0,8.333333333333334,133.3792530721647,0.5932050666634587,283.42517281099606,122.76159395599785,38.36299811124933,0.99007297377399,0.9806630358659559,0.993851273644649,0.993851273644649,0.9919263119407058,7,4,0.5714285714285714,1
55.0,3.2,450.0,60.0,176.0,8.333333333333334,142.859100811178,0.7288929428558871,302.3848682890227,131.48679815452334,41.08962442328854,0.9900119270372976,0.9807872422288091,0.9941488006264088,0.9941488006273405,0.990962864666632,7,4,0.5714285714285714,1
50.0,3.2,400.0,70.0,160.0,7.142857142857143,153.65289953913367,0.9069060289413221,321.5915133639816,141.42135623730954,44.19417382415923,0.9901666359149951,0.9809349986747398,0.994362310813547,0.9943623108143531,0.9910069233573403,4,2,0.5,1
55.0,3.2,500.0,70.0,176.0,7.142857142857143,158.7323342346422,0.999853145206978,331.75038275499867,146.09644239391483,45.65513824809838,0.9900271541047793,0.9803588587123524,0.9944572388007982,0.9944572388007982,0.9908352801051684,6,3,0.5,1
65.0,3.2,550.0,60.0,208.0,8.333333333333334,125.01345376704664,0.48843892830229735,266.69357420075994,115.06175433508912,35.95679822971535,0.9900676841419477,0.9805834834441696,0.99347289357717,0.99347289357717,0.9927414659692811,7,3,0.42857142857142855,1
50.0,3.2,600.0,70.0,160.0,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,66.29126073623884,0.9900898076132869,0.9803362406712149,0.9947248027038668,0.9947248027067208,0.9905733843713451,4,1,0.25,1
