a_um,omega_p_MHz,ratio,delta_MHz,omega_c_MHz,omega_R_MHz,V_ct_MHz,V_DD_MHz,V_cc_MHz,R_DD,R_AA,selectivity_ok,T_c_ns,T_f_ns,sigma_ns,t_total_ns,M1,M2,F_bar,F_00,F_01,F_10,F_11,n_neighbors_total,n_neighbors_pass,robust_score,pass
4.25,70.0,3.0,800.0,50.0,210.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,10.0,156.788672999116,0.9635717568161676,333.57734599823203,120.31010504160554,40.103368347201844,0.9917103002336256,0.9945498333027638,0.9915948537305603,0.9915948537305603,0.9891016601706176,7,6,0.8571428571428571,1
4.0,70.0,3.5,600.0,70.0,245.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,108.23062977345118,30.92303707812891,0.9914690962252757,0.9993105054328928,0.9884163205005676,0.9884163205005676,0.9897332384670745,7,6,0.8571428571428571,1
4.0,60.0,3.5,800.0,70.0,210.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,196.41855032959657,56.119585808456165,0.9912614929014358,0.9984339979324928,0.9910381655846258,0.9910381655846258,0.9845356425039988,7,6,0.8571428571428571,1
3.75,60.0,3.5,800.0,70.0,210.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,238.37937248889708,68.10839213968488,0.9912390576871121,0.9984339979324928,0.9917918032412022,0.9917918032553056,0.9829386263194475,7,6,0.8571428571428571,1
3.75,70.0,3.5,600.0,70.0,245.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,117.591504749337,0.4065068349068206,249.46872378438832,131.35189912653513,37.5291140361529,0.9911973347803711,0.9993105054328928,0.9909042975587934,0.9909042975603315,0.9836702385694664,7,6,0.8571428571428571,1
3.75,70.0,3.5,500.0,70.0,245.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,97.99292062444749,0.23524701094144707,210.27155553460926,109.45991593877926,31.27426169679408,0.9911024880155179,0.9990164854053303,0.9895086756461682,0.9895086756963677,0.9863761153142058,7,6,0.8571428571428571,1
4.0,50.0,3.0,400.0,50.0,150.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,10.0,153.65289953913367,0.9069060289413221,327.30579907826734,141.42135623730954,47.14045207910318,0.9910937698567817,0.9972396403580324,0.9918828392491028,0.991882839251528,0.9833697605684634,7,6,0.8571428571428571,1
4.0,50.0,3.5,600.0,70.0,175.0,441.9417382415923,2.21435546875,-2.7770996093749987,199.58030428198037,159.13787778791763,1,7.142857142857143,230.47934930870048,3.0608078476769607,475.24441290311523,212.1320343559643,60.609152673132655,0.9910353378509432,0.998637040456658,0.9906085740226809,0.9906085740226809,0.9842871629017532,7,6,0.8571428571428571,1
4.25,60.0,3.5,800.0,70.0,210.0,368.44969668991695,1.5391243418092353,-1.9302689512767408,239.38916868588123,190.87997889942366,1,7.142857142857143,213.4068049154635,2.429767953053527,441.0993241166413,163.7554207510742,46.78726307173549,0.9910063297948173,0.9984339979324928,0.9899798602338252,0.9899798602338252,0.9856316007791258,7,6,0.8571428571428571,1
4.5,50.0,3.0,500.0,70.0,150.0,310.38980792825134,1.0922755301152902,-1.3698604360596933,284.1680504327416,226.5849861472499,1,7.142857142857143,192.06612442391705,1.7713008377760187,398.41796313354837,124.15592317130054,41.38530772376684,0.9909179775848758,0.9955529466447584,0.9903629622391756,0.9903629622550472,0.9873930392005219,7,6,0.8571428571428571,1
3.75,60.0,3.5,400.0,70.0,210.0,536.3535881000184,3.261517256515775,-4.09038134430727,164.44910325968846,131.12557068706587,1,7.142857142857143,106.70340245773176,0.3037209941316909,227.69251920117782,119.18968624444854,34.05419606984244,0.9908686918019065,0.9985719758454243,0.9902075595250844,0.9902075595351363,0.9844876723019806,7,6,0.8571428571428571,1
